old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Evadne,Podonidae,Evadne,Cladocerans,Other,Nearshore,Non-gelatinous,Crustacean,Nearshore_crust,Crustacean
Evadne_tergestina,Podonidae,Evadne,Cladocerans,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Fabia_subquadrata_Zoea_III,Pinnotheridae_Larvae,Fabia_subquadrata_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Glass_Object,Objects,Objects,Detritus,Other,Other,Non-gelatinous,NVM,,Other
Harpacticoida,Harpacticoida,Harpacticoida,Harpacticoids,Copepods_Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Harpacticus,Harpacticus,Harpacticoida,Harpacticoids,Copepods_Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hemigrapsus_nudus_Zoea V,Hemigrapsus_Larvae,Grapsidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hemigrapsus_nudus_Zoea_I,Hemigrapsus_Larvae,Grapsidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hemigrapsus_oregonensis_Megalopa,Hemigrapsus_Larvae,Grapsidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hemigrapsus_oregonensis_Zoea_I,Hemigrapsus_Larvae,Grapsidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hemigrapsus_Zoea,Hemigrapsus_Larvae,Grapsidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hyale,Senticaudata,Gammarida,Amphipods,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Hydrachnidia,Arthropoda,Arachnida,Insects,Other,Nearshore,Non-gelatinous,Insects,,Other
Hyperia,Hyperiidae,Hyperiidae,Amphipods,Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
